,Q64,Q65,Q81,Q71,Q1,Q72,Q73,Q74,Q75,Q86,Q87,Q88,Q76,Q77,Q78,Q84,Q84_1_TEXT,Q2,Q3,Q4,Q5,Q7,Q8,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q17,Q18,Q19,Q20,Q21,Q23,Q64.1,Q65.1,Q66,Q69_1,Q69_2,Q69_3,Q69_4,Q69_5,Q69_6,Q69_7,Q69_8,Q69_9,Q69_10,Q69_11,Q69_12,Q69_13,Q69_14,Q69_15,Q69_16,Q69_17,Q69_18,Q69_19,Q69_20,Duration (in seconds),Attention_score
62,I consent,I am between the ages of 18-25.,23.0,2001-02-02,Cisgender Male,White,Yes,Yes - Full time,Senior,No,No,No,No, ,White,No,,12:00 AM,10 Minutes,8:00 AM,7.0 Hours,Three or more times a week,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Three or more times a week,Once or twice a week,Less than once a week,Fairly bad,Three or more times a week,Once or twice a week,A very big problem,No,,,,,Always,Always,Always,Sometimes,Almost never,Always,Always,Often,Always,Almost never,Always,Often,Almost never,Sometimes,Always,Always,Almost never,Almost never,Sometimes,Often,272,3
63,I consent,I am between the ages of 18-25.,21.0,2008-03-08,Cisgender Female,White,Yes,Yes - Full time,Sophomore,No,No,No,Yes,"[{""Sport"": ""Gymnast"", ""Years"": 2, ""Position"": ""NaN""},
{""Sport"": ""Track and field"", ""Years"": 1, ""Position"": ""NaN""}]",White,No,,11:30 PM,10 Minutes,8:00 AM,8.5 Hours,Three or more times a week,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Fairly bad,Three or more times a week,Once or twice a week,Somewhat of a problem,No,,,,,Often,Sometimes,Often,Almost never,Sometimes,Always,Often,Always,Always,Often,Often,Almost never,Always,Sometimes,Almost never,Almost never,Often,Almost never,Always,Almost never,300,3
64,I consent,I am between the ages of 18-25.,18.0,2005-01-01,Cisgender Male,Latino/Hispanic,Yes,Yes - Part time,Junior,No,Yes,Yes,Yes,"[{""Sport"": ""Football"", ""Years"": 2, ""Position"": ""Wide receiver""},
{""Sport"": ""Track & field"", ""Years"": 1, ""Position"": ""NaN""}]",Latino/Hispanic,No,,3:00 AM,40 Minutes,10:00 AM,6.0 Hours,Three or more times a week,Three or more times a week,Three or more times a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Three or more times a week,Three or more times a week,Fairly bad,Once or twice a week,Three or more times a week,A very big problem,No,,,,,Sometimes,Often,Sometimes,Sometimes,Often,Almost never,Often,Often,Always,Always,Almost never,Often,Often,Often,Often,Almost never,Sometimes,Sometimes,Always,Sometimes,364,3
65,I consent,I am between the ages of 18-25.,23.0,2000-08-27,Cisgender Male,Asian,No,Yes - Full time,Freshman,No,No,No,Yes,"[{""Sport"": ""Soccer"", ""Years"": 3, ""Position"": ""Forward""}]",Asian,No,,12:00 AM,15 Minutes,9:00 AM,9.0 Hours,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,Sometimes,Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Almost never,Always,Sometimes,Almost never,Sometimes,Almost never,Sometimes,479,3
66,I consent,I am between the ages of 18-25.,24.0,1999-05-12,Cisgender Female,White,Yes,No,,No,No,No,No, ,White,No,,2:00 AM,30 Minutes,10:00 AM,6.0 Hours,Once or twice a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Sometimes,Sometimes,Almost never,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Often,Often,Almost never,Sometimes,Often,Often,Often,Sometimes,114,3
67,I consent,I am between the ages of 18-25.,21.0,2002-10-29,Cisgender Male,Asian,Yes,Yes - Part time,Freshman,No,No,No,No,"[{""Sport"": ""Basketball"", ""Years"": 4, ""Position"": ""NaN""}]",Asian,No,,11:00 PM,8 Minutes,8:00 PM,8.0 Hours,Not during the past month,Three or more times a week,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,No,,,,,Sometimes,Almost never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Almost never,Often,Often,Sometimes,Almost never,Often,Sometimes,Almost never,Almost never,Always,Often,Often,Sometimes,275,3
68,I consent,I am between the ages of 18-25.,25.0,1998-10-01,Cisgender Female,White,Yes,Yes - Full time,Senior,No,No,No,Yes,"[{""Sport"": ""Field Hockey"", ""Years"": ""NaN"", ""Position"": ""NaN""}]",White,No,,1:00 AM,20 Minutes,8:00 AM,6.0 Hours,Less than once a week,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Once or twice a week,Less than once a week,Not during the past month,Very good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Often,Almost never,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,421,3
69,I consent,I am between the ages of 18-25.,24.0,1999-12-14,Cisgender Female,White,Yes,No,,No,No,No,No, ,White,No,,4:00 AM,20 Minutes,12:00 PM,6.0 Hours,Three or more times a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,Somewhat of a problem,No,,,,,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Often,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Almost never,Often,402,3
70,I consent,I am between the ages of 18-25.,18.0,2006-02-06,Cisgender Male,Non-Hispanic Black,Yes,Yes - Full time,Senior,No,No,No,Yes,"[{""Sport"": ""Soccer"", ""Years"": 4, ""Position"": ""Defender""},
{""Sport"": ""Soccer"", ""Years"": 4, ""Position"": ""Winger""},
{""Sport"": ""Soccer"", ""Years"": 4, ""Position"": ""Striker""}]",Non-Hispanic Black,No,,3:00 AM,70 Minutes,12:00 PM,6.0 Hours,Less than once a week,Three or more times a week,Three or more times a week,Not during the past month,Three or more times a week,Once or twice a week,Once or twice a week,Not during the past month,Once or twice a week,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,No,,,,,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,309,3
71,I consent,I am between the ages of 18-25.,20.0,2003-11-24,Cisgender Female,White,Yes,No,,No,No,No,No, ,White,No,,2:00 AM,120 Minutes,12:00 PM,8.0 Hours,Three or more times a week,Three or more times a week,Not during the past month,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Three or more times a week,Fairly bad,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Not during the past month,Less than once a week,Three or more times a week,Not during the past month,Often,Almost never,Almost never,Sometimes,Sometimes,Almost never,Almost never,Almost never,Often,Often,Almost never,Sometimes,Always,Sometimes,Sometimes,Often,Always,Often,Sometimes,Sometimes,434,3
72,I consent,I am between the ages of 18-25.,19.0,2004-12-10,Cisgender Female,White,Yes,No,,No,Yes,No,No, ,White,Yes,1,11:00 PM,80 Minutes,7:00 AM,7.0 Hours,Three or more times a week,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Three or more times a week,Three or more times a week,Less than once a week,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,Always,Often,Always,Almost never,Sometimes,Always,Always,Always,Sometimes,Often,Sometimes,Always,Sometimes,Almost never,Always,Sometimes,Almost never,Sometimes,Almost never,Sometimes,550,3
73,I consent,I am between the ages of 18-25.,25.0,1998-06-05,Cisgender Female,Asian,Yes,Yes - Part time,Senior,No,No,Yes,Yes,"[{""Sport"": ""Track"", ""Years"": 1, ""Position"": ""NaN""}]",Asian,Yes,1,1:00 AM,45 Minutes,7:00 AM,6.5 Hours,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Fairly good,Less than once a week,Not during the past month,No problem at all,No,,,,,Almost never,Almost never,Almost never,Often,Often,Almost never,Sometimes,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,351,3
74,I consent,I am between the ages of 18-25.,24.0,2000-03-01,Cisgender Male,White,Yes,No,,Yes,Yes,No,Yes,"[
    {""Sport"": ""Football"", ""Years"": 4, ""Position"": ""Wide Receiver and Linebacker""},
    {""Sport"": ""Track and Field"", ""Years"": 2, ""Position"": ""Sprinter""},
    {""Sport"": ""Tennis"", ""Years"": 2, ""Position"": ""NaN""}
]",White,Yes,1,9:30 PM,60 Minutes,6:30 AM,7.0 Hours,Once or twice a week,Three or more times a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Three or more times a week,Three or more times a week,Not during the past month,Fairly bad,Not during the past moth,Once or twice a week,A very big problem,No,,,,,Often,Often,Often,Sometimes,Sometimes,Sometimes,Always,Often,Always,Sometimes,Often,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,378,2
75,I consent,I am between the ages of 18-25.,19.0,2004-08-09,Cisgender Female,White,Yes,Yes - Full time,Sophomore,No,Yes,Yes,Yes,"[{""Sport"": ""Volleyball"", ""Years"": 4, ""Position"": ""Libero""}]",White,No,,2:00 AM,50 Minutes,8:00 AM,4.0 Hours,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Less than once a week,No problem at all,No,,,,,Always,Always,Always,Almost never,Sometimes,Always,Always,Always,Almost never,Almost never,Always,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Sometimes,452,3
76,I consent,I am between the ages of 18-25.,20.0,2003-01-01,Cisgender Male,White,Yes,Yes - Full time,Sophomore,No,No,No,No, ,White,No,,1:00 AM,27 Minutes,10:00 AM,8.0 Hours,Once or twice a week,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Three or more times a week,Less than once a week,Less than once a week,Fairly good,Not during the past moth,Three or more times a week,A very big problem,No,,,,,Often,Sometimes,Often,Sometimes,Almost never,Sometimes,Sometimes,Often,Sometimes,Often,Often,Almost never,Almost never,Sometimes,Always,Often,Often,Often,Sometimes,Sometimes,700,3
77,I consent,I am between the ages of 18-25.,25.0,1998-01-01,Cisgender Female,Latino/Hispanic,Yes,No,,No,No,No,No, ,Latino/Hispanic,No,,11:00 PM,30 Minutes,7:00 AM,7.0 Hours,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,Almost never,Almost never,Almost never,Often,Often,Almost never,Almost never,Sometimes,Almost never,Often,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Almost never,Often,Often,Sometimes,Almost never,128,3
78,I consent,I am between the ages of 18-25.,21.0,2002-07-14,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,No,Yes,"[{""Sport"": ""Sideline cheer"", ""Years"": 2, ""Position"": ""NaN""},
{""Sport"": ""Competitive cheer"", ""Years"": 2, ""Position"": ""Base""}]",White,No,,3:00 AM,15 Minutes,10:00 AM,7.5 Hours,Less than once a week,Less than once a week,Not during the past month,Three or more times a week,Once or twice a week,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Once or twice a week,Somewhat of a problem,No,,,,,Often,Often,Often,Sometimes,Sometimes,Always,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Almost never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Often,280,3
79,I consent,I am between the ages of 18-25.,18.0,2005-08-22,Cisgender Male,Asian,Yes,Yes - Full time,Freshman,No,No,No,No, ,Asian,No,,1:00 AM,15 Minutes,7:00 AM,6.0 Hours,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,Somewhat of a problem,No,,,,,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Often,Always,Always,Often,Often,Sometimes,151,3
80,I consent,I am between the ages of 18-25.,25.0,1998-06-05,Cisgender Female,White,Yes,No,,No,No,No,Yes,"[{""Sport"": ""Bowling"", ""Years"": 4, ""Position"": ""NaN""},
{""Sport"": ""Tennis"", ""Years"": 4, ""Position"": ""NaN""}]",White,No,,12:00 PM,45 Minutes,10:00 AM,8.0 Hours,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,A very big problem,No,,,,,Always,Always,Always,Almost never,Sometimes,Always,Always,Always,Almost never,Almost never,Always,Almost never,Sometimes,Almost never,Always,Often,Sometimes,Almost never,Sometimes,Sometimes,543,3
81,I consent,I am between the ages of 18-25.,23.0,2000-01-01,Cisgender Male,Non-Hispanic Black,Yes,Yes - Full time,Senior,No,No,No,Yes,"[{""Sport"": ""Football"", ""Years"": 4, ""Position"": ""Center Forward""}]",Non-Hispanic Black,No,,9:30 AM,10 Minutes,6:00 AM,8.0 Hours,Less than once a week,,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Once or twice a week,Not during the past month,Fairly bad,Less than once a week,Less than once a week,Somewhat of a problem,No,,,,,Often,Almost never,Almost never,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Always,Often,Often,Always,Often,Always,Often,Often,Often,450,3
82,I consent,I am between the ages of 18-25.,23.0,2001-01-01,Cisgender Male,Asian,Yes,Yes - Full time,Junior,Yes,Yes,No,Yes,"[{""Sport"": ""Volleyball"", ""Years"": ""NaN"", ""Position"": ""LW""},
{""Sport"": ""Basketball"", ""Years"": ""NaN"", ""Position"": ""PG""}]",Asian,Yes,1,11:00 PM,120 Minutes,11:30 AM,8.0 Hours,Once or twice a week,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Fairly bad,Once or twice a week,Less than once a week,Only a very slight problem,Yes,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Almost never,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Often,Almost never,199,2
83,I consent,I am between the ages of 18-25.,21.0,2002-12-01,Cisgender Female,Asian,Yes,No,,No,No,No,No, ,Asian,No,,11:30 PM,30 Minutes,10:00 AM,10.0 Hours,Less than once a week,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,Yes,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Often,Almost never,Often,Sometimes,Often,Almost never,Almost never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,493,3
84,I consent,I am between the ages of 18-25.,25.0,1999-08-19,Cisgender Male,White,Yes,No,,No,No,No,No, ,White,No,,12:00 AM,25 Minutes,9:00 AM,7.0 Hours,Once or twice a week,Three or more times a week,Three or more times a week,Less than once a week,Less than once a week,Once or twice a week,Less than once a week,Less than once a week,Once or twice a week,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Less than once a week,Once or twice a week,Once or twice a week,Less than once a week,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,367,3
85,I consent,I am between the ages of 18-25.,21.0,2002-08-31,Cisgender Female,Asian,Yes,Yes - Full time,Sophomore,No,No,No,No, ,Asian,No,,12:00 PM,30 Minutes,9:00 AM,8.0 Hours,Not during the past month,Not during the past month,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,Always,Sometimes,Sometimes,Almost never,Almost never,Often,Sometimes,Often,Almost never,Often,Often,Always,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,463,3
86,I consent,I am between the ages of 18-25.,24.0,1999-10-15,Cisgender Female,White,Yes,No,,Yes,Yes,Yes,Yes,"[{""Sport"": ""Track"", ""Years"": 4, ""Position"": ""NaN""}]",White,Yes,2,11:00 PM,10 Minutes,9:30 AM,9.5 Hours,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Three or more times a week,Not during the past month,Once or twice a week,Fairly bad,Not during the past moth,Not during the past month,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Sometimes,Sometimes,Often,Often,Often,Always,Sometimes,Sometimes,Always,Often,Sometimes,Almost never,Always,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,228,3
87,I consent,I am between the ages of 18-25.,25.0,2024-04-20,Transgender Male,White,Yes,No,,Yes,Yes,Yes,Yes, ,White,Yes,1,12:00 PM,20 Minutes,8:00 PM,7.0 Hours,Three or more times a week,Once or twice a week,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Three or more times a week,Three or more times a week,Fairly bad,Not during the past moth,Once or twice a week,A very big problem,No,,,,,Always,Always,Always,Often,Often,Always,Sometimes,Often,Often,Almost never,Often,,Sometimes,Almost never,Almost never,Sometimes,Almost never,Almost never,Often,Almost never,232,3
88,I consent,I am between the ages of 18-25.,25.0,1998-04-20,Cisgender Female,Non-Hispanic Black,Yes,Yes - Full time,Junior,No,No,No,Yes,"[{""Sport"": ""Soccer"", ""Years"": 1, ""Position"": ""Defense""},
{""Sport"": ""Track"", ""Years"": 2, ""Position"": ""Sprint""}]",Non-Hispanic Black,No,,1:00 AM,20 Minutes,11:00 PM,8.0 Hours,Three or more times a week,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Less than once a week,A very big problem,Yes,Three or more times a week,Not during the past month,Less than once a week,Not during the past month,Always,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Often,Sometimes,Always,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,299,2
89,I consent,I am between the ages of 18-25.,20.0,2004-01-28,Cisgender Female,White,Yes,Yes - Full time,Sophomore,Yes,Yes,No,Yes,"[{""Sport"": ""Competitive Dance"", ""Years"": 4, ""Position"": ""NaN""},
{""Sport"": ""Cheerleading"", ""Years"": 1, ""Position"": ""NaN""}]",White,No,,1:00 AM,15 Minutes,9:00 AM,8.0 Hours,Three or more times a week,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,Often,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Often,Always,Often,Almost never,Sometimes,Almost never,Almost never,Often,Always,Often,Almost never,Sometimes,Almost never,Sometimes,519,3
90,I consent,I am between the ages of 18-25.,21.0,2002-09-20,Cisgender Male,Latino/Hispanic,Yes,No,,Yes,Yes,No,Yes,"[{""Sport"": ""Soccer"", ""Years"": 0, ""Position"": ""Goalie""}]",Latino/Hispanic,Yes,2,2:00 AM,50 Minutes,10:00 PM,7.0 Hours,Less than once a week,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Less than once a week,Not during the past month,Once or twice a week,,Fairly bad,Not during the past moth,Once or twice a week,Somewhat of a problem,No,,,,,Often,Often,Often,Almost never,Almost never,Often,Sometimes,,,,,,Almost never,Almost never,Always,Always,Almost never,Always,,Always,700,2
91,I consent,I am between the ages of 18-25.,19.0,2004-11-21,Cisgender Male,Asian,Yes,Yes - Full time,Sophomore,No,No,No,No, ,Asian,No,,10:00 PM,60 Minutes,7:00 PM,6.0 Hours,Three or more times a week,Less than once a week,Less than once a week,Once or twice a week,Three or more times a week,Three or more times a week,Once or twice a week,Less than once a week,Three or more times a week,Fairly bad,Once or twice a week,Once or twice a week,Somewhat of a problem,No,,,,,Often,Often,Always,Sometimes,Sometimes,Often,Often,Often,Almost never,Sometimes,Often,Often,Almost never,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,447,3
92,I consent,I am between the ages of 18-25.,25.0,1999-01-04,Cisgender Male,White,Yes,Yes - Full time,Junior,No,No,No,Yes,"[{""Sport"": ""Baseball"", ""Years"": 2, ""Position"": ""Pitcher""}]",White,No,,2:00 AM,15 Minutes,7:00 AM,3.0 Hours,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,Often,Often,Often,Almost never,Almost never,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Almost never,Often,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,267,3
93,I consent,I am between the ages of 18-25.,22.0,2001-06-13,Cisgender Male,Non-Hispanic Black,Yes,Yes - Full time,Senior,No,No,Yes,Yes,"[{""Sport"": ""Footbal"", ""Years"": ""NaN"", ""Position"": ""Lineman""}]",Non-Hispanic Black,No,,1:00 AM,30 Minutes,9:00 AM,6.0 Hours,Less than once a week,Three or more times a week,Once or twice a week,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,Often,,Sometimes,Sometimes,Often,Almost never,Almost never,Often,Almost never,Sometimes,Often,Always,Often,Sometimes,Always,Sometimes,Often,Sometimes,Often,Often,436,2
94,I consent,I am between the ages of 18-25.,24.0,1999-09-13,Cisgender Male,White,Yes,Yes - Full time,Senior,No,No,No,Yes,"[{""Sport"": ""Swimming"", ""Years"": 1, ""Position"": ""NaN""}]",White,No,,11:20 PM,15 Minutes,8:30 AM,9.0 Hours,Not during the past month,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Less than once a week,Once or twice a week,Less than once a week,Once or twice a week,Fairly good,Three or more times a week,Not during the past month,Only a very slight problem,Yes,Once or twice a week,Not during the past month,Once or twice a week,Not during the past month,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Often,Sometimes,Sometimes,Almost never,Almost never,Sometimes,1360,2
95,I consent,I am between the ages of 18-25.,25.0,1999-02-19,Cisgender Male,Latino/Hispanic,Yes,No,,No,No,Yes,No, ,Latino/Hispanic,No,,10:00 PM,10 Minutes,7:00 AM,6.0 Hours,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,No problem at all,No,,,,,Almost never,Almost never,Almost never,Often,Sometimes,Often,Sometimes,Sometimes,Almost never,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,379,3
96,I consent,I am between the ages of 18-25.,23.0,2000-08-31,Cisgender Male,White,Yes,Yes - Full time,Senior,Yes,No,No,No, ,White,No,,12:00 PM,20 Minutes,11:00 PM,11.0 Hours,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Three or more times a week,Not during the past month,Fairly bad,Three or more times a week,Not during the past month,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Often,Sometimes,Often,Sometimes,Almost never,Often,Sometimes,Often,Often,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,415,3
97,I consent,I am between the ages of 18-25.,23.0,2001-02-02,Cisgender Female,Native American or Alaskan,Yes,No,,No,No,No,No, ,Native American or Alaskan,No,,11:00 PM,10 Minutes,5:45 AM,6.0 Hours,Once or twice a week,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Three or more times a week,Once or twice a week,Once or twice a week,Fairly good,Less than once a week,Not during the past month,Only a very slight problem,No,,,,,Sometimes,Almost never,Often,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Almost never,Always,Almost never,Almost never,Always,Always,Always,Often,Sometimes,Often,Always,Sometimes,453,3
98,I consent,I am between the ages of 18-25.,21.0,2002-08-08,Cisgender Male,Asian,Yes,Yes - Part time,Senior,No,No,No,Yes,"[{""Sport"": ""Tennis"", ""Years"": 2, ""Position"": ""NaN""}]",Asian,No,,10:00 PM,30 Minutes,6:30 AM,7.0 Hours,Less than once a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,Yes,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Sometimes,Almost never,Sometimes,Often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Often,Almost never,Almost never,Often,Often,Sometimes,Sometimes,Often,Often,Often,Almost never,267,3
99,I consent,I am between the ages of 18-25.,24.0,1999-08-01,Cisgender Male,White,Yes,No,,Yes,Yes,No,Yes,"[{""Sport"": ""Soccer"", ""Years"": 3, ""Position"": ""Defender""},
{""Sport"": ""Football"", ""Years"": 1, ""Position"": ""Tight End""}]",White,Yes,4,12:00 AM,60 Minutes,10:00 AM,8.0 Hours,Three or more times a week,Three or more times a week,Three or more times a week,Not during the past month,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Fairly bad,Three or more times a week,Once or twice a week,Somewhat of a problem,Yes,Less than once a week,Less than once a week,Three or more times a week,Once or twice a week,Always,Often,Often,Sometimes,Almost never,Often,Often,Often,Sometimes,Almost never,Often,Often,Almost never,Often,Often,Always,Sometimes,Sometimes,Almost never,Sometimes,390,3
100,I consent,I am between the ages of 18-25.,24.0,1999-12-21,Cisgender Female,Non-Hispanic Black,Yes,No,,No,No,No,Yes,"[{""Sport"": ""Track"", ""Years"": 1, ""Position"": ""NaN""},
{""Sport"": ""Baseball"", ""Years"": 1, ""Position"": ""NaN""}]",Non-Hispanic Black,No,,12:00 AM,75 Minutes,9:00 AM,6.0 Hours,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Once or twice a week,Less than once a week,Less than once a week,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,Often,Almost never,Sometimes,Often,Sometimes,Often,Almost never,Almost never,Often,Always,Almost never,Almost never,Always,Sometimes,Often,Sometimes,Often,Often,Always,Almost never,668,3
