,Unnamed: 0.1,Unnamed: 0,Q64,Q65,Q81,Q71,Q1,Q72,Q73,Q74,Q75,Q86,Q87,Q88,QID91,Q76,Q77,Q78,Q84,Q84_1_TEXT,Q89,Q2,Q3,Q4,Q5,Q7,Q8,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q17,Q18,Q19,Q20,Q21,Q23,Q64.1,Q65.1,Q66,Q90,Q69_1,Q69_2,Q69_3,Q69_4,Q69_5,Q69_6,Q69_7,Q69_8,Q69_9,Q69_10,Q69_11,Q69_12,Q69_13,Q69_14,Q69_15,Q69_16,Q69_17,Q69_18,Q69_19,Q69_20,Duration (in seconds)
81,81,81,I consent,I am between the ages of 18-25.,18.0,2006-02-06,Cisgender Male,Non-Hispanic Black,Yes,Yes - Full time,Senior,No,No,No,True,Yes,"Soccer, defender, winger, striker, four years ",Non-Hispanic Black,No,,True,9:30 AM,10,6:00 AM,8,Less than once a week,Three or more times a week,Three or more times a week,Not during the past month,Three or more times a week,Once or twice a week,Once or twice a week,Not during the past month,Once or twice a week,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,309
82,82,82,I consent,I am between the ages of 18-25.,20.0,2003-11-24,Cisgender Female,White,Yes,No,,No,No,No,True,No,N/a,White,No,,True,11:00,120,11:30,8,Three or more times a week,Three or more times a week,Not during the past month,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Three or more times a week,Fairly bad,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Not during the past month,Less than once a week,Three or more times a week,Not during the past month,75 degrees or higher,Often,Almost never,Almost never,Sometimes,Sometimes,Almost never,Almost never,Almost never,Often,Often,Almost never,Sometimes,Always,Sometimes,Sometimes,Often,Always,Often,Sometimes,Sometimes,434
83,83,83,I consent,I am between the ages of 18-25.,19.0,2004-12-10,Cisgender Female,White,Yes,No,,No,Yes,No,True,No,,White,Yes,1,True,11:30-12:00,30 minutes,10:00,10 hours,Three or more times a week,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Three or more times a week,Three or more times a week,Less than once a week,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Always,Often,Always,Almost never,Sometimes,Always,Always,Always,Sometimes,Often,Sometimes,Always,Sometimes,Almost never,Always,Sometimes,Almost never,Sometimes,Almost never,Sometimes,550
84,84,84,I consent,I am between the ages of 18-25.,25.0,1998-06-05,Cisgender Female,Asian,Yes,Yes - Part time,Senior,No,No,Yes,True,Yes,"Track, Rely and 100M, 1 year,",Asian,Yes,1,True,12 AM,25,9 AM,7,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Fairly good,Less than once a week,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Almost never,Almost never,Almost never,Often,Often,Almost never,Sometimes,Often,Often,Often,Sometimes,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,351
85,85,85,I consent,I am between the ages of 18-25.,24.0,2000-03-01,Cisgender Male,White,Yes,No,,Yes,Yes,No,False,Yes,"Football, Wide Receiver and Linebacker, 4 years. Track and Field, Sprinter, 2 years. Tennis, 2 years.",White,Yes,1,True,12 pm,30 minutes,9 am,8 hours,Once or twice a week,Three or more times a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Three or more times a week,Three or more times a week,Not during the past month,Fairly bad,Not during the past moth,Once or twice a week,A very big problem,No,,,,,75 degrees or higher,Often,Often,Often,Sometimes,Sometimes,Sometimes,Always,Often,Always,Sometimes,Often,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,378
86,86,86,I consent,I am between the ages of 18-25.,19.0,2004-08-09,Cisgender Female,White,Yes,Yes - Full time,Sophomore,No,Yes,Yes,True,Yes,"Volleyball, libero, all 4 years",White,No,,True,11 pm ,10 mins,9:30 am,9-10 hours,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Less than once a week,No problem at all,No,,,,,75 degrees or higher,Always,Always,Always,Almost never,Sometimes,Always,Always,Always,Almost never,Almost never,Always,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Sometimes,452
87,87,87,I consent,I am between the ages of 18-25.,20.0,2003-01-01,Cisgender Male,White,Yes,Yes - Full time,Sophomore,No,No,No,True,No,,White,No,,True,12,20,8,7,Once or twice a week,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Three or more times a week,Less than once a week,Less than once a week,Fairly good,Not during the past moth,Three or more times a week,A very big problem,No,,,,,75 degrees or higher,Often,Sometimes,Often,Sometimes,Almost never,Sometimes,Sometimes,Often,Sometimes,Often,Often,Almost never,Almost never,Sometimes,Always,Often,Often,Often,Sometimes,Sometimes,700
88,88,88,I consent,I am between the ages of 18-25.,25.0,1998-01-01,Cisgender Female,Latino/Hispanic,Yes,No,,No,No,No,True,No,,Latino/Hispanic,No,,True,1,20 min ,11,8,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,75 degrees or higher,Almost never,Almost never,Almost never,Often,Often,Almost never,Almost never,Sometimes,Almost never,Often,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Almost never,Often,Often,Sometimes,Almost never,128
89,89,89,I consent,I am between the ages of 18-25.,21.0,2002-07-14,Cisgender Female,White,Yes,Yes - Full time,Junior,No,No,No,True,Yes,"Sideline cheer, 2 years. Competitive cheer, base, 2 years",White,No,,True,1:00 AM,15,9:00 AM,7-8,Less than once a week,Less than once a week,Not during the past month,Three or more times a week,Once or twice a week,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Once or twice a week,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Often,Often,Sometimes,Sometimes,Always,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Almost never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Often,280
90,90,90,I consent,I am between the ages of 18-25.,18.0,2005-08-22,Cisgender Male,Asian,Yes,Yes - Full time,Freshman,No,No,No,True,No,,Asian,No,,True,2 AM,50,10,7,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,Somewhat of a problem,No,,,,,75 degrees or higher,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Often,Always,Always,Often,Often,Sometimes,151
91,91,91,I consent,I am between the ages of 18-25.,25.0,1998-06-05,Cisgender Female,White,Yes,No,,No,No,No,True,Yes,"Bowling, tennis, N/A positions, all 4 years for both",White,No,,True,10,60,7,6,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,A very big problem,No,,,,,75 degrees or higher,Always,Always,Always,Almost never,Sometimes,Always,Always,Always,Almost never,Almost never,Always,Almost never,Sometimes,Almost never,Always,Often,Sometimes,Almost never,Sometimes,Sometimes,543
92,92,92,I consent,I am between the ages of 18-25.,23.0,2000-01-01,Cisgender Male,Non-Hispanic Black,Yes,Yes - Full time,Senior,No,No,No,True,Yes,"football, center forward, all 4 years",Non-Hispanic Black,No,,True,2am,15,7am,3,Less than once a week,,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Once or twice a week,Not during the past month,Fairly bad,Less than once a week,Less than once a week,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Almost never,Almost never,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Always,Often,Often,Always,Often,Always,Often,Often,Often,450
93,93,93,I consent,I am between the ages of 18-25.,23.0,2001-01-01,Cisgender Male,Asian,Yes,Yes - Full time,Junior,Yes,Yes,No,False,Yes,"Volleyball - LW, Basketball - PG. ",Asian,Yes,1,True,1am,30,9am,6,Once or twice a week,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Fairly bad,Once or twice a week,Less than once a week,Only a very slight problem,Yes,Not during the past month,Less than once a week,Not during the past month,Not during the past month,75 degrees or higher,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Almost never,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Often,Almost never,199
94,94,94,I consent,I am between the ages of 18-25.,21.0,2002-12-01,Cisgender Female,Asian,Yes,No,,No,No,No,True,No,,Asian,No,,True,11:20 PM,15 minutes,8:30 AM,9 hours,Less than once a week,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Somewhat of a problem,Yes,Less than once a week,Once or twice a week,Not during the past month,Not during the past month,75 degrees or higher,Often,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Often,Almost never,Often,Sometimes,Often,Almost never,Almost never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,493
95,95,95,I consent,I am between the ages of 18-25.,25.0,1999-08-19,Cisgender Male,White,Yes,No,,No,No,No,True,No,,White,No,,True,10pm,10,7am,6,Once or twice a week,Three or more times a week,Three or more times a week,Less than once a week,Less than once a week,Once or twice a week,Less than once a week,Less than once a week,Once or twice a week,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,Yes,Less than once a week,Once or twice a week,Once or twice a week,Less than once a week,75 degrees or higher,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,367
96,96,96,I consent,I am between the ages of 18-25.,21.0,2002-08-31,Cisgender Female,Asian,Yes,Yes - Full time,Sophomore,No,No,No,True,No,none,Asian,No,,True,12,20,11,11,Not during the past month,Not during the past month,Three or more times a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Always,Sometimes,Sometimes,Almost never,Almost never,Often,Sometimes,Often,Almost never,Often,Often,Always,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,463
97,97,97,I consent,I am between the ages of 18-25.,24.0,1999-10-15,Cisgender Female,White,Yes,No,,Yes,Yes,Yes,True,Yes,"Track, discus and shot put, 4 years ",White,Yes,2,True,11:00 PM,less than 10 minutes ,anywhere from 5:45 to 7:30 AM ,6ish,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Three or more times a week,Not during the past month,Once or twice a week,Fairly bad,Not during the past moth,Not during the past month,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,75 degrees or higher,Sometimes,Sometimes,Often,Often,Often,Always,Sometimes,Sometimes,Always,Often,Sometimes,Almost never,Always,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,228
98,98,98,I consent,I am between the ages of 18-25.,25.0,2024-04-20,Transgender Male,White,Yes,No,,Yes,Yes,Yes,True,Yes,1,White,Yes,1,True,10pm,30,6:30am,6-7,Three or more times a week,Once or twice a week,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Three or more times a week,Three or more times a week,Fairly bad,Not during the past moth,Once or twice a week,A very big problem,No,,,,,75 degrees or higher,Always,Always,Always,Often,Often,Always,Sometimes,Often,Often,Almost never,Often,,Sometimes,Almost never,Almost never,Sometimes,Almost never,Almost never,Often,Almost never,232
99,99,99,I consent,I am between the ages of 18-25.,25.0,1998-04-20,Cisgender Female,Non-Hispanic Black,Yes,Yes - Full time,Junior,No,No,No,True,Yes,"Soccer, Defense, 1 year; Track, sprint, 2 years",Non-Hispanic Black,No,,True,12 AM,60,10 AM,8,Three or more times a week,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Less than once a week,A very big problem,Yes,Three or more times a week,Not during the past month,Less than once a week,Not during the past month,65-69 degrees,Always,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Often,Sometimes,Always,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,299
100,100,100,I consent,I am between the ages of 18-25.,20.0,2004-01-28,Cisgender Female,White,Yes,Yes - Full time,Sophomore,Yes,Yes,No,True,Yes,"Competitive Dance, all 4 years. Cheerleading, one year",White,No,,True,12 am,75 minutes,9 am,6 hours,Three or more times a week,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Often,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Often,Always,Often,Almost never,Sometimes,Almost never,Almost never,Often,Always,Often,Almost never,Sometimes,Almost never,Sometimes,519
101,101,101,I consent,I am between the ages of 18-25.,21.0,2002-09-20,Cisgender Male,Latino/Hispanic,Yes,No,,Yes,Yes,No,False,Yes,I played some soccer as  goalie for s couple months ,Latino/Hispanic,Yes,2,True,3 am or later ,10,7 am,4 to 5,Less than once a week,Once or twice a week,Once or twice a week,Once or twice a week,Not during the past month,Less than once a week,Not during the past month,Once or twice a week,,Fairly bad,Not during the past moth,Once or twice a week,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Often,Often,Almost never,Almost never,Often,Sometimes,,,,,,Almost never,Almost never,Always,Always,Almost never,Always,,Always,700
102,102,102,I consent,I am between the ages of 18-25.,19.0,2004-11-21,Cisgender Male,Asian,Yes,Yes - Full time,Sophomore,No,No,No,True,No,,Asian,No,,True,12:00 AM,60,11:00 AM,7,Three or more times a week,Less than once a week,Less than once a week,Once or twice a week,Three or more times a week,Three or more times a week,Once or twice a week,Less than once a week,Three or more times a week,Fairly bad,Once or twice a week,Once or twice a week,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Often,Always,Sometimes,Sometimes,Often,Often,Often,Almost never,Sometimes,Often,Often,Almost never,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,447
103,103,103,I consent,I am between the ages of 18-25.,25.0,1999-01-04,Cisgender Male,White,Yes,Yes - Full time,Junior,No,No,No,True,Yes,"Baseball, pitcher, 2 years",White,No,,True,12:00 AM,30,6:30 AM,7,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Often,Often,Often,Almost never,Almost never,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Almost never,Often,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,267
104,104,104,I consent,I am between the ages of 18-25.,22.0,2001-06-13,Cisgender Male,Non-Hispanic Black,Yes,Yes - Full time,Senior,No,No,Yes,False,Yes,"footbal,lineman, yeae",Non-Hispanic Black,No,,True,11:30,15,7:20,8,Less than once a week,Three or more times a week,Once or twice a week,Not during the past month,Less than once a week,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Often,,Sometimes,Sometimes,Often,Almost never,Almost never,Often,Almost never,Sometimes,Often,Always,Often,Sometimes,Always,Sometimes,Often,Sometimes,Often,Often,436
105,105,105,I consent,I am between the ages of 18-25.,24.0,1999-09-13,Cisgender Male,White,Yes,Yes - Full time,Senior,No,No,No,True,Yes,"Swimming, 1 year ",White,No,,True,2 AM,15,11:30 AM,7,Not during the past month,Less than once a week,Less than once a week,Less than once a week,Not during the past month,Less than once a week,Once or twice a week,Less than once a week,Once or twice a week,Fairly good,Three or more times a week,Not during the past month,Only a very slight problem,Yes,Once or twice a week,Not during the past month,Once or twice a week,Not during the past month,70-74 degrees,Sometimes,Sometimes,Sometimes,Almost never,Almost never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Often,Sometimes,Sometimes,Almost never,Almost never,Sometimes,1360
106,106,106,I consent,I am between the ages of 18-25.,25.0,1999-02-19,Cisgender Male,Latino/Hispanic,Yes,No,,No,No,Yes,True,No,,Latino/Hispanic,No,,True,1:00am,10,7:00am,6,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,No problem at all,No,,,,,75 degrees or higher,Almost never,Almost never,Almost never,Often,Sometimes,Often,Sometimes,Sometimes,Almost never,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,379
107,107,107,I consent,I am between the ages of 18-25.,23.0,2000-08-31,Cisgender Male,White,Yes,Yes - Full time,Senior,Yes,No,No,True,No,,White,No,,True,2 AM,15 minutes,11 AM,7,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,Three or more times a week,Not during the past month,Fairly bad,Three or more times a week,Not during the past month,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Often,Sometimes,Often,Sometimes,Almost never,Often,Sometimes,Often,Often,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,415
108,108,108,I consent,I am between the ages of 18-25.,23.0,2001-02-02,Cisgender Female,Native American or Alaskan,Yes,No,,No,No,No,True,No,,Native American or Alaskan,No,,True,11,30,8,6,Once or twice a week,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Three or more times a week,Once or twice a week,Once or twice a week,Fairly good,Less than once a week,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Sometimes,Almost never,Often,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Almost never,Always,Almost never,Almost never,Always,Always,Always,Often,Sometimes,Often,Always,Sometimes,453
109,109,109,I consent,I am between the ages of 18-25.,21.0,2002-08-08,Cisgender Male,Asian,Yes,Yes - Part time,Senior,No,No,No,True,Yes,"tennis, two years",Asian,No,,True,12am,20,9:30am,8 hours,Less than once a week,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Very good,Not during the past moth,Not during the past month,No problem at all,Yes,Not during the past month,Not during the past month,Less than once a week,Not during the past month,75 degrees or higher,Sometimes,Almost never,Sometimes,Often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Often,Almost never,Almost never,Often,Often,Sometimes,Sometimes,Often,Often,Often,Almost never,267
110,110,110,I consent,I am between the ages of 18-25.,24.0,1999-08-01,Cisgender Male,White,Yes,No,,Yes,Yes,No,True,Yes,"Soccer, Defender, 3 years; Football, Tight End, 1 year",White,Yes,4,True,12PM,120,11am,8,Three or more times a week,Three or more times a week,Three or more times a week,Not during the past month,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Fairly bad,Three or more times a week,Once or twice a week,Somewhat of a problem,Yes,Less than once a week,Less than once a week,Three or more times a week,Once or twice a week,75 degrees or higher,Always,Often,Often,Sometimes,Almost never,Often,Often,Often,Sometimes,Almost never,Often,Often,Almost never,Often,Often,Always,Sometimes,Sometimes,Almost never,Sometimes,390
111,111,111,I consent,I am between the ages of 18-25.,24.0,1999-12-21,Cisgender Female,Non-Hispanic Black,Yes,No,,No,No,No,True,Yes,"Track, Baseball",Non-Hispanic Black,No,,True,1 am ,60,8 am,7,Once or twice a week,Once or twice a week,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Once or twice a week,Less than once a week,Less than once a week,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Often,Almost never,Sometimes,Often,Sometimes,Often,Almost never,Almost never,Often,Always,Almost never,Almost never,Always,Sometimes,Often,Sometimes,Often,Often,Always,Almost never,668
112,112,112,I consent,I am between the ages of 18-25.,22.0,2001-06-28,Cisgender Female,White,Yes,No,,No,No,No,True,Yes,"Ice Hockey, Forward, 1 year",White,No,,True,11pm,20,6:45am,6,Once or twice a week,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Less than once a week,Not during the past month,Not during the past month,Fairly good,Once or twice a week,Not during the past month,Somewhat of a problem,Yes,Not during the past month,Not during the past month,Once or twice a week,Not during the past month,75 degrees or higher,Often,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Often,Often,Sometimes,Almost never,Often,Sometimes,Often,Almost never,Almost never,Sometimes,242
113,113,113,I consent,I am between the ages of 18-25.,24.0,1999-06-11,Cisgender Female,White,Yes,Yes - Full time,Senior,No,No,No,True,No,,White,No,,True,3 a.m. ,30 minutes,9 a.m.,5,Three or more times a week,Three or more times a week,Not during the past month,Not during the past month,Three or more times a week,Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,Somewhat of a problem,No,,,,,75 degrees or higher,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Almost never,Always,Almost never,Sometimes,Often,Sometimes,Almost never,Sometimes,Almost never,369
114,114,114,I consent,I am between the ages of 18-25.,18.0,2006-02-02,Cisgender Male,Non-Hispanic Black,Yes,Yes - Full time,Senior,No,No,No,True,Yes,"Tennis, singles, 2 years",Non-Hispanic Black,No,,True,11am,1 hour,6am,6 hours,Three or more times a week,Three or more times a week,Three or more times a week,Three or more times a week,Three or more times a week,Three or more times a week,Three or more times a week,Three or more times a week,Not during the past month,Very good,Three or more times a week,Three or more times a week,Somewhat of a problem,No,,,,,70-74 degrees,Always,Always,Always,Always,Always,Always,Always,Always,Always,Almost never,Always,Always,Sometimes,Always,Always,Always,Almost never,Almost never,Almost never,Always,278
115,115,115,I consent,I am between the ages of 18-25.,24.0,1999-12-13,Transgender Female,White,Yes,Yes - Full time,Senior,No,No,No,False,Yes,"Basketball, pingpong, and badminton",White,No,,True,9 pm,20,6:30,8,Less than once a week,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,No problem at all,Yes,Not during the past month,Not during the past month,Not during the past month,Not during the past month,75 degrees or higher,Sometimes,Almost never,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,699
116,116,116,I consent,I am between the ages of 18-25.,25.0,1998-10-22,Cisgender Female,Non-Hispanic Black,Yes,Yes - Part time,Senior,No,No,No,True,Yes,Track,Non-Hispanic Black,No,,True,2am,10,6am,3,Once or twice a week,Three or more times a week,Less than once a week,Not during the past month,Not during the past month,Less than once a week,Not during the past month,Once or twice a week,Not during the past month,Fairly bad,Not during the past moth,Once or twice a week,Somewhat of a problem,No,,,,,75 degrees or higher,Almost never,Often,Often,Always,Sometimes,Almost never,Often,Always,Often,Always,Often,Almost never,Always,Always,Sometimes,Almost never,Sometimes,Almost never,Always,Sometimes,333
117,117,117,I consent,I am between the ages of 18-25.,20.0,2003-10-29,Cisgender Male,Asian,Yes,Yes - Full time,Senior,No,No,No,True,No,,Asian,No,,True,1-2 AM,10-15,9 AM - Noon,"5-9, average ~8",Not during the past month,Once or twice a week,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Less than once a week,Only a very slight problem,No,,,,,75 degrees or higher,Sometimes,Sometimes,Often,Often,Almost never,Sometimes,Sometimes,Sometimes,Almost never,Often,Always,Almost never,Always,Sometimes,Sometimes,Often,Sometimes,Sometimes,Almost never,Almost never,196
118,118,118,I consent,I am between the ages of 18-25.,23.0,2000-09-27,Cisgender Female,Biracial (specify below):,Yes,No,,No,No,No,True,No,,Biracial,No,,True,11:00pm,10,8:00 am,9,Not during the past month,Less than once a week,Once or twice a week,Not during the past month,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,No problem at all,No,,,,,65-69 degrees,Sometimes,Almost never,Almost never,Often,Always,Sometimes,Almost never,Almost never,Always,,Sometimes,Almost never,Always,Always,Always,Sometimes,Often,Always,Always,Sometimes,424
119,119,119,I consent,I am between the ages of 18-25.,18.0,2005-09-24,Cisgender Male,White,Yes,No,,No,No,No,True,Yes,Wrestling,White,No,,True,12am,15,7am,6.5,Once or twice a week,Not during the past month,Less than once a week,Three or more times a week,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Not during the past month,Fairly bad,Not during the past moth,Not during the past month,No problem at all,Yes,Less than once a week,Once or twice a week,Less than once a week,Less than once a week,75 degrees or higher,Often,Sometimes,Always,Sometimes,Sometimes,Often,Sometimes,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,160
120,120,120,I consent,I am between the ages of 18-25.,22.0,2001-08-15,Transgender Male,Biracial (specify below):,Yes,Yes - Full time,Junior,Yes,Yes,Yes,True,Yes,"Volleyball, Setter, 1 year",Biracial,Yes,1,True,11 PM,30,9,6,Three or more times a week,Three or more times a week,Once or twice a week,Less than once a week,Less than once a week,Less than once a week,Three or more times a week,Once or twice a week,Once or twice a week,Fairly bad,Less than once a week,Once or twice a week,Somewhat of a problem,No,,,,,75 degrees or higher,Often,Always,Often,Sometimes,Sometimes,Often,Often,Always,Sometimes,Sometimes,Often,Sometimes,Often,Almost never,Often,Sometimes,Almost never,Sometimes,Almost never,Sometimes,280
121,121,121,I consent,I am between the ages of 18-25.,24.0,1999-05-07,Cisgender Female,Asian,Yes,Yes - Full time,Junior,No,No,No,True,Yes,"Tennis, Singles Player, All four years ",Asian,No,,True,12 AM ,60 mins ,8 AM,8,Three or more times a week,Once or twice a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Once or twice a week,Once or twice a week,Not during the past month,Fairly bad,Not during the past moth,Less than once a week,Somewhat of a problem,No,,,,,75 degrees or higher,Sometimes,Almost never,Almost never,Often,Often,Sometimes,Sometimes,Almost never,Always,Often,Sometimes,Almost never,Often,Sometimes,Sometimes,Sometimes,Often,Often,Often,Sometimes,228
122,122,122,I consent,I am between the ages of 18-25.,23.0,2000-01-01,Cisgender Male,Non-Hispanic Black,Yes,No,,No,No,No,True,Yes,Wrestling 2 years,Non-Hispanic Black,No,,True,10:00 PM,5 minutes,8:00 AM,9 hours,Not during the past month,Less than once a week,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Not during the past month,Fairly good,Not during the past moth,Not during the past month,Only a very slight problem,No,,,,,75 degrees or higher,Almost never,Sometimes,Almost never,Often,Always,Sometimes,Almost never,Often,Sometimes,Often,Sometimes,Always,Always,Sometimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,642
